22:50:06.54 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
22:50:12.46 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29982 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-shkgnry-shard-00-00.ar8adhd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-shkgnry-shard-00-02.ar8adhd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
22:50:13.31 [cluster-ClusterId{value='68bc74535b1c8bbb5424fd0b', description='Cluster0'}-ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=700312200, minRoundTripTimeNanos=0, setName='atlas-qt3wup-shard-0', canonicalAddress=ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017, hosts=[ac-shkgnry-shard-00-00.ar8adhd.mongodb.net:27017, ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017, ac-shkgnry-shard-00-02.ar8adhd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000004ac, setVersion=170, topologyVersion=TopologyVersion{processId=68b89f1aeff0261db38a87a0, counter=6}, lastWriteDate=Sat Sep 06 22:49:57 PKT 2025, lastUpdateTimeNanos=3898174737400}
22:50:13.32 [cluster-ClusterId{value='68bc74535b1c8bbb5424fd0b', description='Cluster0'}-ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017 with max election id 7fffffff00000000000004ac and max set version 170
22:50:13.60 [cluster-ClusterId{value='68bc74535b1c8bbb5424fd0b', description='Cluster0'}-ac-shkgnry-shard-00-00.ar8adhd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-shkgnry-shard-00-00.ar8adhd.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=826613500, minRoundTripTimeNanos=0, setName='atlas-qt3wup-shard-0', canonicalAddress=ac-shkgnry-shard-00-00.ar8adhd.mongodb.net:27017, hosts=[ac-shkgnry-shard-00-00.ar8adhd.mongodb.net:27017, ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017, ac-shkgnry-shard-00-02.ar8adhd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=170, topologyVersion=TopologyVersion{processId=68b89ecd89c8cd07e8d10de2, counter=4}, lastWriteDate=Sat Sep 06 22:49:57 PKT 2025, lastUpdateTimeNanos=3898470148200}
22:50:14.32 [cluster-ClusterId{value='68bc74535b1c8bbb5424fd0b', description='Cluster0'}-ac-shkgnry-shard-00-02.ar8adhd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-shkgnry-shard-00-02.ar8adhd.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=1677350000, minRoundTripTimeNanos=0, setName='atlas-qt3wup-shard-0', canonicalAddress=ac-shkgnry-shard-00-02.ar8adhd.mongodb.net:27017, hosts=[ac-shkgnry-shard-00-00.ar8adhd.mongodb.net:27017, ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017, ac-shkgnry-shard-00-02.ar8adhd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=170, topologyVersion=TopologyVersion{processId=68b89f6a94c7c11e167b2531, counter=3}, lastWriteDate=Sat Sep 06 22:49:57 PKT 2025, lastUpdateTimeNanos=3899196967300}
22:50:16.81 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
22:50:16.81 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
22:50:17.87 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
22:50:17.91 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/journal'
22:50:17.93 [main] INFO  n.e.journalApp.JournalApplication - Started JournalApplication in 12.475 seconds (process running for 14.164)
22:51:25.48 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
22:51:26.52 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
15:44:28.35 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
15:44:28.54 [main] INFO  n.e.journalApp.JournalApplication - Starting JournalApplication using Java 17.0.16 with PID 9672 (E:\Springboot -- Engineering Digest\E2EE JournalApp\target\classes started by suhaib in E:\Springboot -- Engineering Digest\E2EE JournalApp)
15:44:28.55 [main] INFO  n.e.journalApp.JournalApplication - The following 1 profile is active: "dev"
15:44:30.89 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
15:44:31.09 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 176 ms. Found 2 MongoDB repository interfaces.
15:44:32.70 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
15:44:32.72 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
15:44:32.75 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
15:44:32.75 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.43]
15:44:32.88 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
15:44:32.89 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4058 ms
15:44:33.96 [cluster-ClusterId{value='68bd6211dd1a554b652dc6d9', description='Cluster0'}-srv-cluster0.ar8adhd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017 to client view of cluster
15:44:34.03 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/17.0.16+8"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='sobi7', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@7fb8bad0, com.mongodb.Jep395RecordCodecProvider@12d40609, com.mongodb.KotlinCodecProvider@76437e9b]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.ar8adhd.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-qt3wup-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
15:44:34.10 [cluster-ClusterId{value='68bd6211dd1a554b652dc6d9', description='Cluster0'}-srv-cluster0.ar8adhd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-shkgnry-shard-00-00.ar8adhd.mongodb.net:27017 to client view of cluster
15:44:34.11 [cluster-ClusterId{value='68bd6211dd1a554b652dc6d9', description='Cluster0'}-srv-cluster0.ar8adhd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-shkgnry-shard-00-02.ar8adhd.mongodb.net:27017 to client view of cluster
15:44:35.13 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29967 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-shkgnry-shard-00-00.ar8adhd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-shkgnry-shard-00-02.ar8adhd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
15:44:36.61 [cluster-ClusterId{value='68bd6211dd1a554b652dc6d9', description='Cluster0'}-ac-shkgnry-shard-00-02.ar8adhd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-shkgnry-shard-00-02.ar8adhd.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=1222793800, minRoundTripTimeNanos=0, setName='atlas-qt3wup-shard-0', canonicalAddress=ac-shkgnry-shard-00-02.ar8adhd.mongodb.net:27017, hosts=[ac-shkgnry-shard-00-00.ar8adhd.mongodb.net:27017, ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017, ac-shkgnry-shard-00-02.ar8adhd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=170, topologyVersion=TopologyVersion{processId=68b89f6a94c7c11e167b2531, counter=3}, lastWriteDate=Sun Sep 07 15:44:21 PKT 2025, lastUpdateTimeNanos=5799434975700}
15:44:36.72 [cluster-ClusterId{value='68bd6211dd1a554b652dc6d9', description='Cluster0'}-ac-shkgnry-shard-00-00.ar8adhd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-shkgnry-shard-00-00.ar8adhd.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=442908300, minRoundTripTimeNanos=0, setName='atlas-qt3wup-shard-0', canonicalAddress=ac-shkgnry-shard-00-00.ar8adhd.mongodb.net:27017, hosts=[ac-shkgnry-shard-00-00.ar8adhd.mongodb.net:27017, ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017, ac-shkgnry-shard-00-02.ar8adhd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=170, topologyVersion=TopologyVersion{processId=68b89ecd89c8cd07e8d10de2, counter=4}, lastWriteDate=Sun Sep 07 15:44:22 PKT 2025, lastUpdateTimeNanos=5799551208400}
15:44:37.53 [cluster-ClusterId{value='68bd6211dd1a554b652dc6d9', description='Cluster0'}-ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=2149735900, minRoundTripTimeNanos=0, setName='atlas-qt3wup-shard-0', canonicalAddress=ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017, hosts=[ac-shkgnry-shard-00-00.ar8adhd.mongodb.net:27017, ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017, ac-shkgnry-shard-00-02.ar8adhd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000004ac, setVersion=170, topologyVersion=TopologyVersion{processId=68b89f1aeff0261db38a87a0, counter=6}, lastWriteDate=Sun Sep 07 15:44:21 PKT 2025, lastUpdateTimeNanos=5800359870000}
15:44:37.53 [cluster-ClusterId{value='68bd6211dd1a554b652dc6d9', description='Cluster0'}-ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017 with max election id 7fffffff00000000000004ac and max set version 170
15:44:43.75 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
15:44:43.75 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
15:44:44.98 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
15:44:45.02 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/journal'
15:44:45.04 [main] INFO  n.e.journalApp.JournalApplication - Started JournalApplication in 17.903 seconds (process running for 20.086)
15:45:00.79 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
15:45:01.68 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
10:21:45.17 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
10:21:45.39 [main] INFO  n.e.journalApp.JournalApplication - Starting JournalApplication using Java 17.0.16 with PID 6908 (E:\Springboot -- Engineering Digest\E2EE JournalApp\target\classes started by suhaib in E:\Springboot -- Engineering Digest\E2EE JournalApp)
10:21:45.39 [main] INFO  n.e.journalApp.JournalApplication - The following 1 profile is active: "dev"
10:21:48.76 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
10:21:49.05 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 243 ms. Found 2 MongoDB repository interfaces.
10:21:51.29 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
10:21:51.35 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
10:21:51.36 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:21:51.36 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.43]
10:21:51.69 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
10:21:51.70 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5824 ms
10:21:53.04 [cluster-ClusterId{value='68be67f03776ff31c2ab39eb', description='Cluster0'}-srv-cluster0.ar8adhd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017 to client view of cluster
10:21:53.16 [cluster-ClusterId{value='68be67f03776ff31c2ab39eb', description='Cluster0'}-srv-cluster0.ar8adhd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-shkgnry-shard-00-00.ar8adhd.mongodb.net:27017 to client view of cluster
10:21:53.16 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/17.0.16+8"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='sobi7', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@e5c2463, com.mongodb.Jep395RecordCodecProvider@6a950a3b, com.mongodb.KotlinCodecProvider@4f7be6c8]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.ar8adhd.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-qt3wup-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
